ORDER_ID,ORDER_ITEM_ID,PRODUCT_ID,SELLER_ID,SHIPPING_LIMIT_DATE,PRICE,FREIGHT_VALUE
e2d0923acc7f5586db9f45b5adaa91c8,1,c114a4721cfa58d98265d2074e53de44,d91fb3b7d041e83b64a00a3edfb37e4f,2017-05-09 20:30:13,199.0,18.82
e2d092db21e901d04985350bf0e748ac,1,425a12d4dd8e5e7ba3be5c4157f1fafc,fa1c13f2614d7b5c4749cbc52fecda94,2017-01-22 20:11:57,189.0,15.49
e2d0dc3c743b5c8af5b6d15458f10a5c,1,c3ba4e8d3cb30049213b682e751e9d00,6560211a19b47992c3666cc44a7e94c0,2018-06-14 10:35:11,95.0,7.53
e2d21f16357e9da293db665a9d8a646e,1,2136c70bbe723d338fab53da3c03e6dc,6560211a19b47992c3666cc44a7e94c0,2017-08-22 14:55:22,29.0,7.78
e2d2e04c2fbe085bddeb94e5196d51d3,1,e1e932dfb67414e80b87ad97688cf2a3,fde0cc9ea29c8ccfc0a2c22256a58c71,2018-06-11 21:55:16,105.0,23.27
e2d38ab302de39ef3087f6a3a58c8e6d,1,7dd3fec3502f7ef333da2a73e00db394,a888faf2d1baececa6baf9c3d603ee1f,2018-05-07 08:15:19,249.9,63.65
e2d3e5a5b56149b36e4df4dedd8648f5,1,8aa6223e400af9c97b07c75993142721,1f9ab4708f3056ede07124aad39a2554,2018-02-19 12:28:09,169.9,31.94
e2d4372ffb3a4fa7986212fbee364dc1,1,3bb1adc5328cf8d3aabba59f3b534e7f,08633c14ef2db992c11f840f04fad4cd,2018-03-15 03:55:35,35.9,8.29
e2d43cdbee2a18383c6d8ce8c63d3f1c,1,ade881d3a9e73b511c630460c74dd92f,85d9eb9ddc5d00ca9336a2219c97bb13,2017-09-20 15:45:17,27.9,14.1
e2d4589339629645d85a6c1a8215edab,1,1d2498694abb5754d2a497801dc4900e,ea8482cd71df3c1969d7b9473ff13abc,2017-10-27 12:07:45,27.99,15.1
e2d4ba7d12faf84e6c6fc0db5a766352,1,cb03e4f0503f45854e87afe535e0681d,73a63f72308aa20a46f4b1632018f196,2017-12-26 22:18:27,329.0,39.6
e2d5b94a4565c77d5c35af59bb8eea79,1,82e4ad16521ca131d95e198d507db370,128639473a139ac0f3e5f5ade55873a5,2018-07-30 02:55:25,18.9,13.47
e2d66db1ac680c44e6419a6a7a5095a4,1,91c82ace62e0ca1b69b1a45bcc214b45,4869f7a5dfa277a7dca6462dcf3b52b2,2018-05-16 20:31:04,235.0,14.09
e2d728d25671b9cc26c08107fad09654,1,c3b9c5a3a88d5cd18800fb865741d9ad,37be5a7c751166fbc5f8ccba4119e043,2018-05-09 17:12:41,160.0,34.66
